,SPX Index,TSLA US Equity,AAPL US Equity,NKE US Equity,AMZN US Equity,WMT US Equity,KO US Equity,XAU Curncy,CL1 Comdty,USGG10YR Index,USGG2YR Index
16 Apr 2019,2907.06,54.672,49.813,87.8,93.152,102.93,46.95,1276.79,64.05,2.5904,2.4124
17 Apr 2019,2900.45,54.246,50.783,88.73,93.241,103.16,47.28,1273.98,63.76,2.594,2.4002
18 Apr 2019,2905.03,54.652,50.965,89.2,93.085,103.18,47.48,1275.82,64,2.5596,2.3802
19 Apr 2019,2905.03,54.652,50.965,89.2,93.085,103.18,47.48,1275.52,64,2.5596,2.3802
22 Apr 2019,2907.97,52.55,51.133,87.36,94.366,102.37,47.4,1274.99,65.7,2.5885,2.3866
23 Apr 2019,2933.68,52.78,51.87,87.43,96.189,103.07,48.21,1272.42,66.3,2.565,2.3639
24 Apr 2019,2927.25,51.732,51.79,88.39,95.088,103.53,47.98,1275.76,65.89,2.5181,2.3178
25 Apr 2019,2926.17,49.526,51.32,87.56,95.113,103.52,47.84,1277.17,65.21,2.5325,2.3319
26 Apr 2019,2939.88,47.028,51.075,88.31,97.532,101.53,48.26,1286.16,63.3,2.4982,2.2821
29 Apr 2019,2943.03,48.294,51.153,88.26,96.922,101.56,48.42,1279.9,63.5,2.5252,2.2922
30 Apr 2019,2945.83,47.738,50.168,87.83,96.326,102.84,49.06,1283.53,63.91,2.5018,2.2661
1 May 2019,2923.73,46.802,52.63,85.9,95.576,101.36,48.59,1276.76,63.6,2.4999,2.3044
2 May 2019,2917.52,48.82,52.288,85.27,95.041,101.15,48.39,1270.69,61.81,2.5414,2.3448
3 May 2019,2945.64,51.006,52.938,85.7,98.123,102.08,48.72,1279.11,61.94,2.525,2.333
6 May 2019,2932.47,51.068,52.12,83.57,97.528,102.46,48.47,1281.1,62.25,2.4692,2.2904
7 May 2019,2884.05,49.412,50.715,82.54,96.05,101.3,48,1284.43,61.4,2.4566,2.2844
8 May 2019,2879.42,48.968,50.725,82.77,95.889,100.3,47.85,1280.88,62.12,2.4835,2.2966
9 May 2019,2870.72,48.396,50.18,82.98,94.994,99.54,47.4,1284.08,61.7,2.4423,2.258
10 May 2019,2881.4,47.904,49.295,83.95,94.499,101.91,48.19,1286.05,61.66,2.4672,2.2661
13 May 2019,2811.87,45.402,46.43,82.53,91.134,99.89,48.05,1299.91,61.04,2.4015,2.1884
14 May 2019,2834.41,46.462,47.165,83.67,92.006,100.29,48.69,1296.92,61.78,2.4104,2.1965
15 May 2019,2850.96,46.39,47.73,84.01,93.558,99.88,49.18,1296.49,62.02,2.3732,2.1596
16 May 2019,2876.32,45.666,47.52,84.28,95.379,101.31,49.58,1286.72,62.87,2.3944,2.1922
17 May 2019,2859.53,42.206,47.25,84.57,93.45,100.86,49.2,1277.53,62.76,2.3909,2.1981
20 May 2019,2840.23,41.072,45.773,82.85,92.949,101.52,48.85,1277.82,63.1,2.4157,2.2208
21 May 2019,2864.36,41.016,46.65,83.64,92.876,101.12,48.6,1274.68,62.99,2.4264,2.2538
22 May 2019,2856.27,38.546,45.695,83.2,92.984,102.23,49.65,1273.34,61.42,2.382,2.2227
23 May 2019,2822.24,39.098,44.915,82.64,90.774,101.86,49.85,1283.45,57.91,2.3185,2.146
24 May 2019,2826.06,38.126,44.743,82.16,91.164,102.67,49.61,1284.93,58.63,2.3202,2.1641
27 May 2019,2826.06,38.126,44.743,82.16,91.164,102.67,49.61,1285.36,58.63,2.3202,2.1641
28 May 2019,2802.39,37.74,44.558,81.2,91.822,102.42,49.1,1279.33,59.14,2.2658,2.1244
29 May 2019,2783.02,37.972,44.345,78.87,90.96,102.12,48.61,1279.78,58.81,2.2605,2.109
30 May 2019,2788.86,37.644,44.575,79.26,90.816,102.19,49.25,1288.65,56.59,2.2133,2.0609
31 May 2019,2752.06,37.032,43.768,77.14,88.754,101.44,49.13,1305.58,53.5,2.1246,1.9221
3 Jun 2019,2744.45,35.794,43.325,77.96,84.635,101.96,49.98,1325.31,53.25,2.071,1.8317
4 Jun 2019,2803.27,38.72,44.91,81.62,86.478,102.56,50,1325.52,53.48,2.1296,1.8834
5 Jun 2019,2826.15,39.318,45.635,82.72,86.925,104.42,50.78,1330.32,51.68,2.1348,1.8569
6 Jun 2019,2843.49,41.19,46.305,82.45,87.718,105.11,51.4,1335.33,52.59,2.1174,1.8787
7 Jun 2019,2873.34,40.9,47.538,83.41,90.202,106.06,51.49,1340.86,53.99,2.0809,1.8494
10 Jun 2019,2886.73,42.576,48.145,82.58,93.032,107.52,51.38,1327.98,53.26,2.1484,1.9036
11 Jun 2019,2885.72,43.42,48.703,83.26,93.185,107.94,51.33,1326.84,53.27,2.1431,1.9297
12 Jun 2019,2879.84,41.852,48.548,82.63,92.766,108.82,51.64,1333.58,51.14,2.1205,1.8786
13 Jun 2019,2891.64,42.782,48.538,83.61,93.515,108.65,51.13,1342.31,52.28,2.0945,1.8357
14 Jun 2019,2886.98,42.984,48.185,83.44,93.484,109.07,51.31,1341.7,52.51,2.0804,1.8405
17 Jun 2019,2889.67,45.006,48.473,82.11,94.302,109.16,50.87,1339.66,51.93,2.0942,1.8687
18 Jun 2019,2917.75,44.948,49.613,84.3,95.069,109.65,50.64,1346.61,53.9,2.0595,1.8643
19 Jun 2019,2926.46,45.286,49.468,83.55,95.44,109.62,51.12,1360.38,53.76,2.0233,1.7351
20 Jun 2019,2954.18,43.924,49.865,85.24,95.91,110.32,51.66,1388.44,56.65,2.0284,1.7775
21 Jun 2019,2950.46,44.372,49.695,85.75,95.565,111.13,51.55,1399.63,57.43,2.054,1.7678
24 Jun 2019,2945.35,44.728,49.645,84.5,95.695,111.24,51.92,1419.72,57.9,2.0143,1.7324
